ne year,month,month_year,country,region,is_aggregate,visitors
2023,Jan,Jan-2023,South  Africa,Africa,False,4125
2023,Jan,Jan-2023,South Asia,Asia and the Pacific,True,130381
2023,Jan,Jan-2023,South-East Asia,Asia and the Pacific,True,664990
2023,Jan,Jan-2023,Southern/Medit. Europe,Europe,True,69937
2023,Jan,Jan-2023,Spain,Europe,False,8488
2023,Jan,Jan-2023,Sri Lanka,Asia and the Pacific,False,1534
2023,Jan,Jan-2023,Sweden,Europe,False,30972
2023,Jan,Jan-2023,Switzerland,Europe,False,16839
2023,Jan,Jan-2023,Taiwan,Asia and the Pacific,False,49492
2023,Jan,Jan-2023,The United States of America,America,False,82470
2023,Jan,Jan-2023,Turkey,Europe,False,6750
2023,Jan,Jan-2023,U.A.E.,Middle East,False,4059
2023,Jan,Jan-2023,Ukraine,Europe,False,4652
2023,Jan,Jan-2023,United Kingdom,Europe,False,76815
2023,Jan,Jan-2023,Uruguay,America,False,137
2023,Jan,Jan-2023,Uzbekistan,Europe,False,4940
2023,Jan,Jan-2023,Vietnam,Asia and the Pacific,False,71189
2023,Jan,Jan-2023,Western Europe,Europe,True,190527
2023,Jan,Jan-2023,Yemen,Middle East,False,368
2023,Feb,Feb-2023,Africa,Africa,True,7014
2023,Feb,Feb-2023,America,America,True,117838
2023,Feb,Feb-2023,Argentina,America,False,2248
2023,Feb,Feb-2023,Asia and the Pacific,Asia and the Pacific,True,1277199
2023,Feb,Feb-2023,Australia,Oceania,False,45107
2023,Feb,Feb-2023,Austria,Europe,False,11285
2023,Feb,Feb-2023,Bahrain,Middle East,False,1019
2023,Feb,Feb-2023,Bangladesh,Asia and the Pacific,False,9760
2023,Feb,Feb-2023,Belarus,Europe,False,1231
2023,Feb,Feb-2023,Belgium,Europe,False,8361
2023,Feb,Feb-2023,Bhutan,Asia and the Pacific,False,2564
2023,Feb,Feb-2023,Brazil,America,False,4405
2023,Feb,Feb-2023,Brunei,Asia and the Pacific,False,848
2023,Feb,Feb-2023,Bulgaria,Europe,False,1906
2023,Feb,Feb-2023,Cambodia,Asia and the Pacific,False,41791
2023,Feb,Feb-2023,Canada,America,False,23740
2023,Feb,Feb-2023,Central/Eastern Europe,Europe,True,263908
2023,Feb,Feb-2023,Chile,America,False,1654
2023,Feb,Feb-2023,China,Asia and the Pacific,False,155656
2023,Feb,Feb-2023,Colombia,America,False,499
2023,Feb,Feb-2023,Croatia,Europe,False,817
2023,Feb,Feb-2023,Cyprus,Europe,False,202
2023,Feb,Feb-2023,Czech Republic,Europe,False,7929
2023,Feb,Feb-2023,Denmark,Europe,False,18726
2023,Feb,Feb-2023,Egypt,Middle East,False,1238
2023,Feb,Feb-2023,Estonia,Europe,False,2863
2023,Feb,Feb-2023,Ethiopia,Africa,False,785
2023,Feb,Feb-2023,Europe,Europe,True,684551
2023,Feb,Feb-2023,Finland,Europe,False,12518
2023,Feb,Feb-2023,France,Europe,False,75188
2023,Feb,Feb-2023,Germany,Europe,False,80284
2023,Feb,Feb-2023,Grand Total,Africa,True,2113550
2023,Feb,Feb-2023,Greece,Europe,False,1733
2023,Feb,Feb-2023,Hong Kong (China),Asia and the Pacific,False,41967
2023,Feb,Feb-2023,Hungary,Europe,False,4106
2023,Feb,Feb-2023,Iceland,Europe,False,399
2023,Feb,Feb-2023,India,Asia and the Pacific,False,99808
2023,Feb,Feb-2023,Indonesia,Asia and the Pacific,False,46915
2023,Feb,Feb-2023,Iran,Asia and the Pacific,False,2475
2023,Feb,Feb-2023,Iraq,Middle East,False,311
2023,Feb,Feb-2023,Ireland,Europe,False,4641
2023,Feb,Feb-2023,Israel,Europe,False,21314
2023,Feb,Feb-2023,Italy,Europe,False,17808
2023,Feb,Feb-2023,Japan,Asia and the Pacific,False,65451
2023,Feb,Feb-2023,Jordan,Middle East,False,663
2023,Feb,Feb-2023,Kazakhstan,Europe,False,23019
2023,Feb,Feb-2023,Kenya,Africa,False,284
2023,Feb,Feb-2023,Korea (Republic of),Asia and the Pacific,False,157440
2023,Feb,Feb-2023,Kuwait,Middle East,False,4586
2023,Feb,Feb-2023,Kyrgyzstan,Europe,False,560
2023,Feb,Feb-2023,Laos,Asia and the Pacific,False,56042
2023,Feb,Feb-2023,Latvia,Europe,False,1180
2023,Feb,Feb-2023,Lebanon,Middle East,False,265
2023,Feb,Feb-2023,Lithuania,Europe,False,3022
2023,Feb,Feb-2023,Luxembourg,Europe,False,433
2023,Feb,Feb-2023,Macao (China),Asia and the Pacific,False,1420
2023,Feb,Feb-2023,Malaysia,Asia and the Pacific,False,305367
2023,Feb,Feb-2023,Maldives,Asia and the Pacific,False,1757
2023,Feb,Feb-2023,Mauritius,Africa,False,772
2023,Feb,Feb-2023,Mexico,America,False,1968
2023,Feb,Feb-2023,Middle East,Middle East,True,26948
2023,Feb,Feb-2023,Mongolia,Asia and the Pacific,False,3192
2023,Feb,Feb-2023,Morocco,Africa,False,618
2023,Feb,Feb-2023,Myanmar,Asia and the Pacific,False,22405
2023,Feb,Feb-2023,Nepal,Asia and the Pacific,False,2403
